artist_id,name,genre,country
1,Artist 1,Rock,DE
2,Artist 2,Pop,US
3,Artist 3,Hip-Hop,CA
4,Artist 4,Electronic,FR
5,Artist 5,Electronic,DE
6,Artist 6,Jazz,US
7,Artist 7,Rock,DE
8,Artist 8,Electronic,US
9,Artist 9,Electronic,UK
10,Artist 10,Jazz,DE
11,Artist 11,Electronic,US
12,Artist 12,Jazz,DE
13,Artist 13,Pop,UK
14,Artist 14,Pop,DE
15,Artist 15,Jazz,FR
16,Artist 16,Electronic,CA
17,Artist 17,Jazz,UK
18,Artist 18,Pop,CA
19,Artist 19,Rock,CA
20,Artist 20,Rock,FR
21,Artist 21,Rock,FR
22,Artist 22,Rock,CA
23,Artist 23,Rock,DE
24,Artist 24,Pop,DE
25,Artist 25,Electronic,CA
26,Artist 26,Electronic,DE
27,Artist 27,Jazz,US
28,Artist 28,Jazz,UK
29,Artist 29,Electronic,DE
30,Artist 30,Jazz,US
31,Artist 31,Rock,FR
32,Artist 32,Pop,UK
33,Artist 33,Jazz,UK
34,Artist 34,Pop,US
35,Artist 35,Electronic,UK
36,Artist 36,Hip-Hop,US
37,Artist 37,Rock,UK
38,Artist 38,Hip-Hop,FR
39,Artist 39,Electronic,US
40,Artist 40,Pop,FR
41,Artist 41,Pop,CA
42,Artist 42,Rock,US
43,Artist 43,Jazz,US
44,Artist 44,Rock,CA
45,Artist 45,Jazz,US
46,Artist 46,Rock,FR
47,Artist 47,Pop,FR
48,Artist 48,Pop,CA
49,Artist 49,Hip-Hop,CA
50,Artist 50,Rock,US
51,Artist 51,Electronic,DE
52,Artist 52,Rock,UK
53,Artist 53,Hip-Hop,DE
54,Artist 54,Electronic,US
55,Artist 55,Hip-Hop,FR
56,Artist 56,Hip-Hop,CA
57,Artist 57,Rock,CA
58,Artist 58,Pop,FR
59,Artist 59,Hip-Hop,DE
60,Artist 60,Rock,FR
61,Artist 61,Electronic,CA
62,Artist 62,Pop,UK
63,Artist 63,Rock,US
64,Artist 64,Jazz,UK
65,Artist 65,Hip-Hop,US
66,Artist 66,Rock,US
67,Artist 67,Hip-Hop,FR
68,Artist 68,Jazz,FR
69,Artist 69,Rock,CA
70,Artist 70,Electronic,CA
71,Artist 71,Rock,UK
72,Artist 72,Jazz,FR
73,Artist 73,Rock,FR
74,Artist 74,Hip-Hop,FR
75,Artist 75,Jazz,US
76,Artist 76,Electronic,DE
77,Artist 77,Pop,US
78,Artist 78,Rock,US
79,Artist 79,Hip-Hop,UK
80,Artist 80,Rock,FR
81,Artist 81,Electronic,FR
82,Artist 82,Pop,CA
83,Artist 83,Hip-Hop,FR
84,Artist 84,Electronic,UK
85,Artist 85,Jazz,UK
86,Artist 86,Electronic,CA
87,Artist 87,Rock,UK
88,Artist 88,Jazz,DE
89,Artist 89,Electronic,DE
90,Artist 90,Rock,FR
91,Artist 91,Hip-Hop,UK
92,Artist 92,Hip-Hop,DE
93,Artist 93,Electronic,DE
94,Artist 94,Rock,CA
95,Artist 95,Electronic,FR
96,Artist 96,Electronic,FR
97,Artist 97,Electronic,FR
98,Artist 98,Hip-Hop,DE
99,Artist 99,Pop,CA
100,Artist 100,Rock,US
101,Artist 101,Electronic,FR
102,Artist 102,Jazz,CA
103,Artist 103,Rock,UK
104,Artist 104,Pop,CA
105,Artist 105,Electronic,UK
106,Artist 106,Hip-Hop,US
107,Artist 107,Hip-Hop,DE
108,Artist 108,Jazz,UK
109,Artist 109,Electronic,CA
110,Artist 110,Pop,DE
111,Artist 111,Jazz,CA
112,Artist 112,Electronic,US
113,Artist 113,Pop,US
114,Artist 114,Pop,UK
115,Artist 115,Electronic,FR
116,Artist 116,Jazz,CA
117,Artist 117,Rock,UK
118,Artist 118,Pop,CA
119,Artist 119,Jazz,CA
120,Artist 120,Rock,US
121,Artist 121,Pop,DE
122,Artist 122,Pop,DE
123,Artist 123,Hip-Hop,UK
124,Artist 124,Electronic,US
125,Artist 125,Hip-Hop,US
126,Artist 126,Rock,CA
127,Artist 127,Jazz,FR
128,Artist 128,Jazz,US
129,Artist 129,Electronic,FR
130,Artist 130,Hip-Hop,UK
131,Artist 131,Hip-Hop,CA
132,Artist 132,Hip-Hop,CA
133,Artist 133,Rock,FR
134,Artist 134,Pop,UK
135,Artist 135,Rock,DE
136,Artist 136,Jazz,UK
137,Artist 137,Jazz,DE
138,Artist 138,Electronic,US
139,Artist 139,Rock,UK
140,Artist 140,Rock,US
141,Artist 141,Jazz,FR
142,Artist 142,Hip-Hop,CA
143,Artist 143,Hip-Hop,DE
144,Artist 144,Electronic,CA
145,Artist 145,Electronic,CA
146,Artist 146,Jazz,FR
147,Artist 147,Hip-Hop,FR
148,Artist 148,Rock,UK
149,Artist 149,Rock,CA
150,Artist 150,Hip-Hop,FR
151,Artist 151,Hip-Hop,US
152,Artist 152,Jazz,DE
153,Artist 153,Pop,FR
154,Artist 154,Jazz,UK
155,Artist 155,Pop,FR
156,Artist 156,Electronic,UK
157,Artist 157,Hip-Hop,UK
158,Artist 158,Jazz,DE
159,Artist 159,Pop,US
160,Artist 160,Jazz,UK
161,Artist 161,Hip-Hop,UK
162,Artist 162,Jazz,DE
163,Artist 163,Hip-Hop,UK
164,Artist 164,Hip-Hop,FR
165,Artist 165,Hip-Hop,FR
166,Artist 166,Rock,DE
167,Artist 167,Rock,CA
168,Artist 168,Hip-Hop,DE
169,Artist 169,Pop,FR
170,Artist 170,Hip-Hop,DE
171,Artist 171,Pop,DE
172,Artist 172,Pop,UK
173,Artist 173,Rock,UK
174,Artist 174,Pop,UK
175,Artist 175,Jazz,FR
176,Artist 176,Rock,DE
177,Artist 177,Rock,FR
178,Artist 178,Pop,CA
179,Artist 179,Jazz,FR
180,Artist 180,Electronic,UK
181,Artist 181,Pop,FR
182,Artist 182,Pop,DE
183,Artist 183,Rock,FR
184,Artist 184,Jazz,CA
185,Artist 185,Rock,UK
186,Artist 186,Jazz,UK
187,Artist 187,Rock,DE
188,Artist 188,Rock,US
189,Artist 189,Pop,US
190,Artist 190,Hip-Hop,UK
191,Artist 191,Rock,FR
192,Artist 192,Pop,US
193,Artist 193,Electronic,US
194,Artist 194,Hip-Hop,CA
195,Artist 195,Hip-Hop,US
196,Artist 196,Electronic,US
197,Artist 197,Rock,DE
198,Artist 198,Pop,FR
199,Artist 199,Pop,FR
200,Artist 200,Hip-Hop,US
