event_id,user_id,track_id,timestamp,play_duration_ms
1,168,1948,2026-03-23 23:30:50.181764,164046
2,463,4830,2026-04-06 23:30:50.181767,14256
3,368,3669,2026-04-06 23:30:50.181769,209789
4,624,789,2026-04-13 23:30:50.181770,147818
5,185,1983,2026-04-01 23:30:50.181771,83891
6,732,2686,2026-04-02 23:30:50.181772,59420
7,866,1996,2026-03-30 23:30:50.181773,111932
8,953,3450,2026-03-24 23:30:50.181774,45340
9,708,3557,2026-03-22 23:30:50.181775,121764
10,513,543,2026-03-19 23:30:50.181776,161726
11,471,437,2026-03-26 23:30:50.181776,174725
12,800,2653,2026-03-31 23:30:50.181777,104855
13,696,3087,2026-04-14 23:30:50.181778,95043
14,44,3485,2026-04-10 23:30:50.181779,262352
15,924,2507,2026-04-17 23:30:50.181780,191341
16,142,1950,2026-03-23 23:30:50.181781,105816
17,325,3074,2026-04-14 23:30:50.181782,217632
18,870,4422,2026-03-22 23:30:50.181783,179000
19,939,3580,2026-04-12 23:30:50.181784,179845
20,360,4931,2026-04-15 23:30:50.181785,195546
21,788,4848,2026-04-01 23:30:50.181786,118694
22,677,1340,2026-04-16 23:30:50.181787,229609
23,986,4741,2026-03-25 23:30:50.181788,230022
24,826,1679,2026-04-09 23:30:50.181789,238043
25,499,4244,2026-04-11 23:30:50.181790,176862
26,902,4758,2026-03-30 23:30:50.181791,130208
27,802,2775,2026-04-06 23:30:50.181792,178784
28,862,1727,2026-04-02 23:30:50.181792,198119
29,634,2506,2026-04-13 23:30:50.181793,70244
30,190,2441,2026-04-11 23:30:50.181794,177020
31,612,2949,2026-04-03 23:30:50.181795,66661
32,400,3296,2026-04-04 23:30:50.181796,253234
33,582,1226,2026-04-17 23:30:50.181797,235391
34,700,2109,2026-04-14 23:30:50.181798,255976
35,979,726,2026-04-11 23:30:50.181799,196792
36,628,1693,2026-04-12 23:30:50.181800,278821
37,477,688,2026-03-21 23:30:50.181801,131966
38,376,4716,2026-03-28 23:30:50.181802,256123
39,192,3862,2026-03-25 23:30:50.181803,64339
40,828,4599,2026-04-06 23:30:50.181804,264999
41,722,1661,2026-04-11 23:30:50.181805,149796
42,244,2783,2026-04-03 23:30:50.181806,119069
43,707,205,2026-03-20 23:30:50.181807,213263
44,779,1459,2026-03-24 23:30:50.181807,86734
45,938,4973,2026-04-06 23:30:50.181808,158823
46,569,2441,2026-04-12 23:30:50.181809,239053
47,779,4655,2026-03-20 23:30:50.181810,92234
48,779,1121,2026-04-12 23:30:50.181811,121769
49,80,2346,2026-03-26 23:30:50.181812,78938
50,586,2023,2026-03-30 23:30:50.181813,164859
51,564,2425,2026-03-28 23:30:50.181814,215770
52,463,2294,2026-03-31 23:30:50.181815,50124
53,384,2738,2026-04-14 23:30:50.181816,77463
54,712,1215,2026-03-30 23:30:50.181817,271927
55,838,1561,2026-03-19 23:30:50.181818,286534
56,840,254,2026-04-11 23:30:50.181819,169526
57,861,921,2026-03-20 23:30:50.181820,284700
58,542,4819,2026-04-02 23:30:50.181821,251903
59,593,1160,2026-03-30 23:30:50.181822,270996
60,623,517,2026-03-21 23:30:50.181823,45266
61,812,832,2026-03-27 23:30:50.181823,299841
62,311,2565,2026-03-21 23:30:50.181825,35669
63,347,1485,2026-04-16 23:30:50.181825,98532
64,603,4229,2026-03-22 23:30:50.181826,239778
65,10,3191,2026-04-06 23:30:50.181827,233662
66,685,894,2026-04-03 23:30:50.181828,187327
67,436,4812,2026-04-07 23:30:50.181829,245952
68,270,822,2026-03-30 23:30:50.181830,55704
