track_id,title,artist_id,duration_ms,genre
1,Track 1,19,243508,Pop
2,Track 2,64,254428,Hip-Hop
3,Track 3,185,291237,Pop
4,Track 4,46,199802,Hip-Hop
5,Track 5,128,210277,Hip-Hop
6,Track 6,64,252762,Jazz
7,Track 7,2,264483,Electronic
8,Track 8,41,268871,Hip-Hop
9,Track 9,47,231625,Hip-Hop
10,Track 10,196,266183,Pop
11,Track 11,165,247229,Jazz
12,Track 12,25,206234,Jazz
13,Track 13,8,256372,Rock
14,Track 14,72,298749,Electronic
15,Track 15,153,194784,Jazz
16,Track 16,74,272994,Pop
17,Track 17,33,223147,Hip-Hop
18,Track 18,62,191004,Hip-Hop
19,Track 19,123,185488,Pop
20,Track 20,40,265985,Rock
21,Track 21,61,203641,Jazz
22,Track 22,25,180428,Pop
23,Track 23,92,208082,Jazz
24,Track 24,191,251645,Electronic
25,Track 25,79,242416,Jazz
26,Track 26,52,222561,Rock
27,Track 27,165,239656,Jazz
28,Track 28,140,214054,Hip-Hop
29,Track 29,143,190127,Hip-Hop
30,Track 30,48,282031,Rock
31,Track 31,19,201004,Jazz
32,Track 32,172,256280,Pop
33,Track 33,107,216779,Jazz
34,Track 34,145,238941,Hip-Hop
35,Track 35,66,264516,Electronic
36,Track 36,197,254500,Jazz
37,Track 37,51,201002,Pop
38,Track 38,122,272080,Hip-Hop
39,Track 39,140,190564,Rock
40,Track 40,123,253600,Pop
41,Track 41,49,182151,Rock
42,Track 42,22,190571,Rock
43,Track 43,27,191808,Electronic
44,Track 44,41,187934,Electronic
45,Track 45,162,251868,Rock
46,Track 46,91,256387,Jazz
47,Track 47,35,231919,Rock
48,Track 48,14,242848,Pop
49,Track 49,58,267184,Hip-Hop
50,Track 50,34,181786,Pop
51,Track 51,116,289332,Electronic
52,Track 52,88,243151,Hip-Hop
53,Track 53,55,275921,Pop
54,Track 54,10,230990,Electronic
55,Track 55,54,270100,Rock
56,Track 56,110,180411,Electronic
57,Track 57,45,253692,Electronic
58,Track 58,152,219687,Hip-Hop
59,Track 59,10,273961,Jazz
60,Track 60,118,220943,Hip-Hop
61,Track 61,192,219623,Electronic
