payment_id,user_id,payment_date,amount,payment_method,status
1,2,2025-12-02 23:30:50.180140,0.0,paypal,success
2,2,2026-01-01 23:30:50.180140,0.0,paypal,success
3,2,2026-01-31 23:30:50.180140,0.0,card,success
4,2,2026-03-02 23:30:50.180140,0.0,card,success
5,2,2026-04-01 23:30:50.180140,0.0,paypal,success
6,3,2025-12-14 23:30:50.180141,0.0,paypal,success
7,3,2026-01-13 23:30:50.180141,0.0,card,success
8,3,2026-02-12 23:30:50.180141,0.0,paypal,failed
9,3,2026-03-14 23:30:50.180141,0.0,paypal,success
10,3,2026-04-13 23:30:50.180141,0.0,paypal,failed
11,3,2026-05-13 23:30:50.180141,0.0,card,success
12,11,2025-05-27 23:30:50.180150,9.99,card,success
13,13,2026-02-21 23:30:50.180152,0.0,card,success
14,15,2025-12-22 23:30:50.180154,0.0,paypal,success
15,15,2026-01-21 23:30:50.180154,0.0,card,success
16,15,2026-02-20 23:30:50.180154,0.0,card,success
17,15,2026-03-22 23:30:50.180154,0.0,paypal,refunded
18,15,2026-04-21 23:30:50.180154,0.0,card,success
19,15,2026-05-21 23:30:50.180154,0.0,paypal,success
20,18,2025-06-23 23:30:50.180157,0.0,paypal,success
21,18,2025-07-23 23:30:50.180157,0.0,card,success
22,18,2025-08-22 23:30:50.180157,0.0,card,success
23,18,2025-09-21 23:30:50.180157,0.0,card,success
24,18,2025-10-21 23:30:50.180157,0.0,paypal,success
25,19,2025-04-29 23:30:50.180159,0.0,paypal,success
26,19,2025-05-29 23:30:50.180159,0.0,card,success
27,19,2025-06-28 23:30:50.180159,0.0,paypal,success
28,19,2025-07-28 23:30:50.180159,0.0,paypal,failed
29,19,2025-08-27 23:30:50.180159,0.0,card,failed
30,21,2025-07-11 23:30:50.180161,0.0,paypal,success
31,21,2025-08-10 23:30:50.180161,0.0,paypal,success
32,21,2025-09-09 23:30:50.180161,0.0,paypal,success
33,24,2025-09-27 23:30:50.180164,0.0,card,success
34,24,2025-10-27 23:30:50.180164,0.0,card,success
35,25,2026-03-30 23:30:50.180165,9.99,card,success
36,25,2026-04-29 23:30:50.180165,9.99,paypal,success
37,25,2026-05-29 23:30:50.180165,9.99,card,success
38,27,2026-01-28 23:30:50.180167,14.99,paypal,success
39,27,2026-02-27 23:30:50.180167,14.99,paypal,success
40,27,2026-03-29 23:30:50.180167,14.99,card,success
41,27,2026-04-28 23:30:50.180167,14.99,paypal,refunded
42,28,2025-10-22 23:30:50.180168,9.99,paypal,success
43,28,2025-11-21 23:30:50.180168,9.99,paypal,success
44,28,2025-12-21 23:30:50.180168,9.99,paypal,success
45,28,2026-01-20 23:30:50.180168,9.99,paypal,success
46,33,2026-03-08 23:30:50.180172,9.99,paypal,success
47,33,2026-04-07 23:30:50.180172,9.99,card,success
48,33,2026-05-07 23:30:50.180172,9.99,paypal,success
49,33,2026-06-06 23:30:50.180172,9.99,card,success
50,33,2026-07-06 23:30:50.180172,9.99,card,refunded
51,33,2026-08-05 23:30:50.180172,9.99,paypal,success
52,35,2026-03-27 23:30:50.180174,14.99,card,success
53,39,2026-02-07 23:30:50.180178,9.99,card,success
