track_id,title,artist_id,duration_ms,genre
1,Track 1,145,181132,Electronic
2,Track 2,194,192578,Hip-Hop
3,Track 3,134,207532,Electronic
4,Track 4,13,194171,Rock
5,Track 5,125,254127,Pop
6,Track 6,77,185067,Electronic
7,Track 7,119,268585,Rock
8,Track 8,91,249216,Rock
9,Track 9,77,205445,Hip-Hop
10,Track 10,76,270034,Jazz
11,Track 11,19,189824,Jazz
12,Track 12,124,190202,Rock
13,Track 13,98,186387,Rock
14,Track 14,169,258550,Jazz
15,Track 15,36,202254,Hip-Hop
16,Track 16,57,237514,Jazz
17,Track 17,193,183293,Electronic
18,Track 18,80,241921,Rock
19,Track 19,138,216867,Rock
20,Track 20,198,234226,Hip-Hop
21,Track 21,125,285583,Rock
22,Track 22,170,206233,Electronic
23,Track 23,46,299619,Hip-Hop
24,Track 24,122,268742,Jazz
25,Track 25,159,218009,Hip-Hop
26,Track 26,71,189591,Electronic
27,Track 27,150,197914,Electronic
28,Track 28,103,290734,Jazz
29,Track 29,60,284836,Hip-Hop
30,Track 30,108,285692,Pop
31,Track 31,138,239107,Electronic
32,Track 32,32,221526,Electronic
33,Track 33,153,193961,Pop
34,Track 34,73,266154,Hip-Hop
35,Track 35,142,245678,Rock
36,Track 36,76,247291,Pop
37,Track 37,116,255654,Electronic
38,Track 38,66,203285,Rock
39,Track 39,116,212808,Jazz
40,Track 40,118,246849,Pop
41,Track 41,67,203680,Pop
42,Track 42,32,266241,Hip-Hop
43,Track 43,106,283286,Rock
44,Track 44,122,212979,Rock
45,Track 45,181,290000,Electronic
46,Track 46,83,193675,Rock
47,Track 47,81,228368,Rock
48,Track 48,199,289926,Rock
49,Track 49,76,222028,Pop
50,Track 50,85,262898,Rock
51,Track 51,85,224992,Jazz
52,Track 52,193,236118,Rock
53,Track 53,158,263106,Pop
54,Track 54,160,265350,Jazz
55,Track 55,7,252838,Electronic
56,Track 56,70,260450,Electronic
57,Track 57,178,295898,Hip-Hop
58,Track 58,167,234117,Jazz
59,Track 59,127,231639,Pop
60,Track 60,132,194922,Rock
61,Track 61,107,249133,Pop
62,Track 62,96,298572,Hip-Hop
63,Track 63,52,217698,Hip-Hop
64,Track 64,4,235865,Hip-Hop
65,Track 65,102,229821,Jazz
66,Track 66,9,234099,Rock
67,Track 67,104,205530,Rock
68,Track 68,86,209149,Electronic
69,Track 69,19,271062,Pop
70,Track 70,81,239453,Jazz
71,Track 71,91,228365,Pop
72,Track 72,121,210788,Jazz
73,Track 73,19,294264,Jazz
74,Track 74,170,256536,Electronic
75,Track 75,8,280732,Hip-Hop
76,Track 76,115,267516,Electronic
77,Track 77,52,230363,Rock
78,Track 78,84,276566,Rock
79,Track 79,69,254241,Jazz
80,Track 80,78,295171,Rock
81,Track 81,68,224274,Jazz
82,Track 82,88,273198,Hip-Hop
83,Track 83,85,236743,Electronic
84,Track 84,98,188742,Hip-Hop
85,Track 85,105,256583,Rock
86,Track 86,136,183899,Pop
87,Track 87,190,180579,Hip-Hop
88,Track 88,176,254407,Electronic
89,Track 89,152,212410,Rock
90,Track 90,92,270520,Jazz
91,Track 91,157,252913,Hip-Hop
92,Track 92,55,279331,Rock
93,Track 93,153,200980,Hip-Hop
94,Track 94,200,294163,Rock
95,Track 95,58,259618,Pop
96,Track 96,173,268903,Pop
97,Track 97,64,209897,Jazz
98,Track 98,46,241866,Rock
99,Track 99,116,253930,Hip-Hop
100,Track 100,58,218514,Hip-Hop
101,Track 101,40,263665,Pop
102,Track 102,7,275897,Jazz
103,Track 103,181,285708,Pop
104,Track 104,55,212060,Electronic
105,Track 105,177,289904,Rock
106,Track 106,197,260758,Pop
107,Track 107,73,259080,Electronic
108,Track 108,108,299164,Jazz
109,Track 109,58,216723,Electronic
