user_id,subscription_type,monthly_price,start_date
1,premium,14.99,2025-11-15 00:26:16.038835
2,free,0.0,2025-09-19 00:26:16.038849
3,free,9.99,2025-06-02 00:26:16.038851
4,free,9.99,2025-12-20 00:26:16.038853
5,free,0.0,2025-07-02 00:26:16.038854
6,free,0.0,2025-05-09 00:26:16.038855
7,free,9.99,2025-11-10 00:26:16.038856
8,premium,14.99,2026-01-28 00:26:16.038858
9,family,0.0,2025-05-28 00:26:16.038859
10,free,9.99,2025-08-20 00:26:16.038860
11,family,14.99,2025-10-30 00:26:16.038861
12,free,9.99,2026-02-20 00:26:16.038863
13,premium,0.0,2026-03-16 00:26:16.038864
14,premium,9.99,2025-06-13 00:26:16.038865
15,family,0.0,2026-02-27 00:26:16.038866
16,premium,9.99,2025-10-26 00:26:16.038867
17,free,9.99,2026-04-01 00:26:16.038868
18,family,0.0,2026-01-06 00:26:16.038869
19,family,9.99,2025-11-21 00:26:16.038870
20,family,14.99,2025-08-20 00:26:16.038872
21,premium,0.0,2025-07-31 00:26:16.038873
22,family,14.99,2025-09-16 00:26:16.038874
23,premium,9.99,2025-05-28 00:26:16.038875
24,premium,0.0,2025-06-23 00:26:16.038876
25,free,9.99,2026-03-27 00:26:16.038877
26,premium,0.0,2025-11-17 00:26:16.038878
27,free,14.99,2026-04-29 00:26:16.038879
28,family,9.99,2025-12-25 00:26:16.038880
29,free,9.99,2025-07-14 00:26:16.038881
30,free,0.0,2026-04-15 00:26:16.038882
31,family,9.99,2025-05-23 00:26:16.038883
32,free,0.0,2025-07-04 00:26:16.038884
33,free,0.0,2026-04-19 00:26:16.038885
34,free,0.0,2026-02-01 00:26:16.038886
35,premium,0.0,2025-07-27 00:26:16.038887
36,premium,9.99,2025-09-28 00:26:16.038888
37,premium,9.99,2025-12-14 00:26:16.038890
38,free,0.0,2025-08-25 00:26:16.038891
39,premium,0.0,2025-12-14 00:26:16.038892
40,free,0.0,2026-01-13 00:26:16.038893
41,premium,0.0,2025-07-22 00:26:16.038894
42,free,9.99,2025-11-14 00:26:16.038895
43,free,9.99,2026-03-31 00:26:16.038896
44,free,0.0,2025-05-19 00:26:16.038897
45,family,9.99,2025-11-26 00:26:16.038898
46,family,0.0,2025-11-05 00:26:16.038899
47,premium,9.99,2025-11-12 00:26:16.038900
48,free,9.99,2025-05-30 00:26:16.038901
49,premium,9.99,2025-09-19 00:26:16.038902
50,free,9.99,2025-11-29 00:26:16.038903
51,free,9.99,2025-12-30 00:26:16.038904
52,free,0.0,2025-10-23 00:26:16.038905
53,free,9.99,2026-01-26 00:26:16.038906
54,premium,14.99,2025-09-30 00:26:16.038907
55,premium,9.99,2025-08-29 00:26:16.038908
56,free,9.99,2025-12-27 00:26:16.038909
57,family,0.0,2026-01-15 00:26:16.038910
58,premium,9.99,2025-05-15 00:26:16.038911
59,premium,14.99,2025-05-12 00:26:16.038912
60,premium,9.99,2025-12-10 00:26:16.038913
61,free,0.0,2025-05-23 00:26:16.038914
62,free,14.99,2026-02-24 00:26:16.038915
63,premium,0.0,2025-10-25 00:26:16.038916
64,free,9.99,2025-08-09 00:26:16.038917
65,premium,0.0,2026-04-03 00:26:16.038918
66,premium,0.0,2025-07-28 00:26:16.038919
67,free,0.0,2025-10-12 00:26:16.038920
68,free,14.99,2025-10-30 00:26:16.038921
69,premium,0.0,2026-04-07 00:26:16.038922
70,premium,0.0,2025-05-26 00:26:16.038923
71,free,0.0,2025-09-25 00:26:16.038924
72,free,9.99,2026-03-14 00:26:16.038925
73,premium,9.99,2025-11-24 00:26:16.038926
74,premium,9.99,2026-01-03 00:26:16.038927
75,premium,9.99,2025-06-23 00:26:16.038928
76,premium,0.0,2025-05-15 00:26:16.038929
77,free,14.99,2025-10-14 00:26:16.038931
78,free,9.99,2025-06-22 00:26:16.038932
79,free,0.0,2025-07-14 00:26:16.038933
80,free,9.99,2026-03-24 00:26:16.038934
81,premium,9.99,2025-09-03 00:26:16.038935
82,premium,0.0,2026-04-13 00:26:16.038936
83,free,14.99,2026-03-16 00:26:16.038937
84,free,9.99,2025-09-30 00:26:16.038938
85,free,0.0,2026-01-09 00:26:16.038939
86,free,0.0,2025-10-08 00:26:16.038940
87,free,0.0,2025-11-05 00:26:16.038941
88,free,9.99,2025-09-19 00:26:16.038942
89,free,9.99,2025-09-30 00:26:16.038943
90,free,0.0,2026-05-03 00:26:16.038944
91,free,9.99,2025-05-09 00:26:16.038945
92,premium,0.0,2025-07-08 00:26:16.038946
93,premium,0.0,2026-03-14 00:26:16.038947
94,family,0.0,2025-07-01 00:26:16.038948
95,family,0.0,2026-04-10 00:26:16.038949
96,premium,9.99,2025-09-13 00:26:16.038950
