event_id,user_id,track_id,timestamp,play_duration_ms
1,773,2945,2026-04-30 00:26:16.040640,99765
2,875,1078,2026-04-21 00:26:16.040644,204244
3,270,1628,2026-04-21 00:26:16.040645,80155
4,777,38,2026-04-07 00:26:16.040646,265967
5,251,4808,2026-04-12 00:26:16.040647,183923
6,936,825,2026-04-19 00:26:16.040649,101649
7,48,2987,2026-04-10 00:26:16.040649,190016
8,912,957,2026-04-05 00:26:16.040650,16549
9,773,4608,2026-04-26 00:26:16.040651,150534
10,441,868,2026-04-25 00:26:16.040652,214757
11,740,4162,2026-04-20 00:26:16.040653,67014
12,716,4500,2026-04-16 00:26:16.040654,141496
13,231,3036,2026-04-29 00:26:16.040655,97658
14,886,4723,2026-04-14 00:26:16.040656,236857
15,871,1282,2026-04-12 00:26:16.040657,132549
16,585,4532,2026-04-10 00:26:16.040658,244344
17,351,1848,2026-04-29 00:26:16.040659,157692
18,875,2757,2026-04-27 00:26:16.040660,299985
19,920,2789,2026-04-06 00:26:16.040661,65586
20,32,2775,2026-04-22 00:26:16.040662,48065
21,970,991,2026-04-12 00:26:16.040663,132834
22,749,3286,2026-04-06 00:26:16.040664,213825
23,532,731,2026-04-06 00:26:16.040664,201082
24,406,1250,2026-04-28 00:26:16.040665,177860
25,946,3506,2026-04-17 00:26:16.040666,136530
26,269,1300,2026-05-03 00:26:16.040667,225548
27,346,3864,2026-04-18 00:26:16.040668,191872
28,589,3670,2026-04-20 00:26:16.040669,46684
29,763,4717,2026-04-07 00:26:16.040670,110472
30,381,2634,2026-04-06 00:26:16.040671,76185
31,896,4421,2026-05-01 00:26:16.040672,163676
32,780,1286,2026-04-19 00:26:16.040673,118541
33,515,2782,2026-04-26 00:26:16.040674,19864
34,526,1934,2026-04-10 00:26:16.040675,63853
35,918,744,2026-04-16 00:26:16.040676,243604
36,788,3827,2026-04-23 00:26:16.040677,247981
37,363,498,2026-04-29 00:26:16.040678,295306
38,240,261,2026-04-27 00:26:16.040679,100682
39,202,4200,2026-04-11 00:26:16.040680,287731
40,656,2402,2026-04-13 00:26:16.040681,283908
41,539,4469,2026-05-03 00:26:16.040682,102208
42,924,4934,2026-04-10 00:26:16.040682,262742
43,775,2409,2026-04-19 00:26:16.040683,199255
44,369,2856,2026-04-11 00:26:16.040684,107786
45,372,1033,2026-04-21 00:26:16.040685,243155
46,423,77,2026-04-04 00:26:16.040686,97773
47,458,347,2026-04-28 00:26:16.040687,160903
48,774,4500,2026-05-02 00:26:16.040688,275667
49,119,2953,2026-04-26 00:26:16.040689,120402
50,889,1739,2026-04-28 00:26:16.040690,197823
51,945,111,2026-04-19 00:26:16.040691,100663
52,59,2651,2026-04-19 00:26:16.040692,174610
53,769,514,2026-04-13 00:26:16.040693,100301
54,734,2508,2026-05-03 00:26:16.040694,251991
55,913,1848,2026-04-06 00:26:16.040695,31709
56,238,2245,2026-05-03 00:26:16.040695,12147
57,170,4791,2026-04-08 00:26:16.040696,214147
58,754,3051,2026-04-03 00:26:16.040697,41420
59,279,2032,2026-04-03 00:26:16.040698,199890
60,676,621,2026-04-23 00:26:16.040699,232563
61,489,3878,2026-04-18 00:26:16.040700,89614
62,235,2868,2026-04-10 00:26:16.040701,172610
63,62,2696,2026-04-17 00:26:16.040702,109752
64,896,4974,2026-04-13 00:26:16.040703,83549
65,400,929,2026-04-30 00:26:16.040704,157178
66,880,4630,2026-04-21 00:26:16.040705,273009
